Interaction_ID,Loan_ID,Agent_ID,Interaction_Date,Call_Status,Amount_Recovered
INT_00059,LN_131,AG_04,1/13/2025,Promise to Pay,0
INT_00060,LN_292,AG_10,1/13/2025,Promise to Pay,11007.77
INT_00061,LN_88,AG_06,1/14/2025,Answered,0
INT_00062,LN_359,AG_08,1/14/2025,Answered,0
INT_00063,LN_452,AG_02,1/14/2025,Answered,16064.21
INT_00064,LN_141,AG_10,1/14/2025,Answered,9084.02
INT_00065,LN_329,AG_05,1/14/2025,Switch Off,0
INT_00066,LN_452,AG_09,1/15/2025,Busy,0
INT_00067,LN_358,AG_03,1/15/2025,Answered,0
INT_00068,LN_67,AG_04,1/15/2025,Answered,0
INT_00069,LN_364,AG_01,1/15/2025,Answered,7848.46
INT_00070,LN_280,AG_06,1/15/2025,Promise to Pay,0
INT_00071,LN_307,AG_01,1/15/2025,Switch Off,0
INT_00072,LN_146,AG_06,1/15/2025,Switch Off,0
INT_00073,LN_136,AG_08,1/16/2025,Promise to Pay,10238.23
INT_00074,LN_89,AG_03,1/16/2025,Switch Off,0
INT_00075,LN_357,AG_10,1/16/2025,Answered,0
INT_00076,LN_445,AG_08,1/16/2025,Switch Off,0
INT_00077,LN_407,AG_02,1/16/2025,Answered,0
INT_00078,LN_370,AG_01,1/16/2025,Answered,24722.92
INT_00079,LN_208,AG_10,1/16/2025,Switch Off,0
INT_00080,LN_51,AG_04,1/16/2025,Promise to Pay,0
INT_00081,LN_98,AG_01,1/17/2025,Switch Off,0
INT_00082,LN_129,AG_09,1/17/2025,Promise to Pay,0
INT_00083,LN_464,AG_06,1/17/2025,Busy,0
INT_00084,LN_297,AG_10,1/18/2025,Busy,0
INT_00085,LN_146,AG_05,1/18/2025,Answered,0
INT_00086,LN_236,AG_03,1/18/2025,Answered,0
INT_00087,LN_164,AG_04,1/18/2025,Answered,0
INT_00088,LN_237,AG_03,1/18/2025,Answered,1488.28
INT_00089,LN_391,AG_04,1/18/2025,Switch Off,0
INT_00090,LN_44,AG_10,1/19/2025,Switch Off,0
INT_00091,LN_149,AG_02,1/19/2025,Promise to Pay,0
INT_00092,LN_135,AG_04,1/19/2025,Promise to Pay,0
INT_00093,LN_331,AG_04,1/19/2025,Answered,21600.55
INT_00094,LN_57,AG_01,1/19/2025,Promise to Pay,0
INT_00095,LN_192,AG_07,1/19/2025,Busy,0
INT_00096,LN_207,AG_05,1/19/2025,Switch Off,0
INT_00097,LN_113,AG_04,1/20/2025,Busy,0
INT_00098,LN_423,AG_05,1/20/2025,Answered,0
INT_00099,LN_443,AG_07,1/20/2025,Switch Off,0
INT_00100,LN_87,AG_05,1/20/2025,Answered,0
INT_00101,LN_271,AG_10,1/21/2025,Busy,0
INT_00102,LN_207,AG_07,1/21/2025,Promise to Pay,0
INT_00103,LN_147,AG_09,1/21/2025,Promise to Pay,0
INT_00104,LN_177,AG_09,1/21/2025,Busy,0
INT_00105,LN_342,AG_08,1/22/2025,Answered,0
INT_00106,LN_235,AG_02,1/22/2025,Busy,0
INT_00107,LN_184,AG_04,1/22/2025,Switch Off,0
INT_00108,LN_46,AG_05,1/22/2025,Promise to Pay,0
INT_00109,LN_256,AG_08,1/23/2025,Switch Off,0
INT_00110,LN_326,AG_09,1/23/2025,Switch Off,0
INT_00111,LN_456,AG_10,1/23/2025,Answered,0
INT_00112,LN_328,AG_06,1/23/2025,Answered,0
INT_00113,LN_417,AG_09,1/23/2025,Busy,0
INT_00114,LN_118,AG_05,1/23/2025,Promise to Pay,0
INT_00115,LN_85,AG_06,1/24/2025,Busy,0
INT_00116,LN_476,AG_01,1/24/2025,Answered,0
INT_00117,LN_116,AG_02,1/24/2025,Promise to Pay,0
INT_00118,LN_299,AG_03,1/24/2025,Busy,0
INT_00119,LN_368,AG_07,1/24/2025,Answered,24753.33
INT_00120,LN_245,AG_06,1/24/2025,Switch Off,0
INT_00121,LN_395,AG_04,1/25/2025,Switch Off,0
INT_00122,LN_215,AG_09,1/25/2025,Promise to Pay,0
INT_00123,LN_112,AG_04,1/25/2025,Busy,0
INT_00124,LN_290,AG_07,1/25/2025,Switch Off,0
INT_00125,LN_483,AG_03,1/26/2025,Busy,0
INT_00126,LN_473,AG_08,1/26/2025,Answered,21339.01
INT_00127,LN_449,AG_02,1/26/2025,Answered,0
INT_00128,LN_178,AG_08,1/26/2025,Answered,13348.92
INT_00129,LN_337,AG_09,1/27/2025,Busy,0
INT_00130,LN_452,AG_07,1/27/2025,Switch Off,0
INT_00131,LN_480,AG_08,1/27/2025,Answered,0
INT_00132,LN_20,AG_03,1/27/2025,Busy,0
INT_00133,LN_254,AG_03,1/27/2025,Switch Off,0
INT_00134,LN_233,AG_08,1/28/2025,Busy,0
INT_00135,LN_281,AG_09,1/28/2025,Answered,0
INT_00136,LN_148,AG_02,1/28/2025,Promise to Pay,0
INT_00137,LN_276,AG_07,1/29/2025,Promise to Pay,0
INT_00138,LN_338,AG_05,1/29/2025,Switch Off,0
INT_00139,LN_334,AG_01,1/29/2025,Busy,0
INT_00140,LN_406,AG_01,1/29/2025,Answered,0
INT_00141,LN_317,AG_10,1/29/2025,Answered,0
INT_00142,LN_386,AG_05,1/29/2025,Switch Off,0
INT_00143,LN_447,AG_07,1/30/2025,Answered,0
INT_00144,LN_263,AG_05,1/30/2025,Switch Off,0
INT_00145,LN_419,AG_06,1/30/2025,Promise to Pay,0
INT_00146,LN_156,AG_02,1/30/2025,Answered,9558.14
INT_00147,LN_122,AG_09,1/31/2025,Switch Off,0
INT_00148,LN_272,AG_08,1/31/2025,Promise to Pay,0
INT_00149,LN_268,AG_10,1/31/2025,Busy,0
INT_00150,LN_418,AG_05,1/31/2025,Busy,0
INT_00151,LN_480,AG_08,1/31/2025,Answered,0
INT_00152,LN_481,AG_04,2/1/2025,Answered,0
INT_00153,LN_36,AG_01,2/1/2025,Answered,0
INT_00154,LN_241,AG_02,2/1/2025,Answered,0
INT_00155,LN_408,AG_02,2/1/2025,Promise to Pay,0
INT_00156,LN_123,AG_02,2/1/2025,Answered,0
INT_00157,LN_255,AG_08,2/1/2025,Answered,0
INT_00158,LN_134,AG_06,2/2/2025,Answered,0
INT_00159,LN_32,AG_10,2/2/2025,Answered,0
INT_00160,LN_237,AG_04,2/2/2025,Answered,0
INT_00161,LN_183,AG_02,2/2/2025,Answered,0
INT_00162,LN_346,AG_04,2/3/2025,Switch Off,0
INT_00163,LN_462,AG_07,2/3/2025,Answered,0
INT_00164,LN_245,AG_07,2/3/2025,Promise to Pay,0
INT_00165,LN_160,AG_08,2/3/2025,Switch Off,0
INT_00166,LN_73,AG_05,2/3/2025,Promise to Pay,0
INT_00167,LN_36,AG_03,2/3/2025,Switch Off,0
INT_00168,LN_60,AG_02,2/3/2025,Promise to Pay,17343.32
INT_00169,LN_368,AG_04,2/4/2025,Busy,0
INT_00170,LN_482,AG_03,2/4/2025,Busy,0
INT_00171,LN_144,AG_05,2/4/2025,Switch Off,0
INT_00172,LN_310,AG_07,2/4/2025,Answered,0
INT_00173,LN_140,AG_09,2/4/2025,Busy,0
INT_00174,LN_69,AG_05,2/4/2025,Switch Off,0
INT_00175,LN_353,AG_04,2/4/2025,Busy,0
INT_00176,LN_484,AG_03,2/5/2025,Answered,14579.18
INT_00177,LN_470,AG_03,2/5/2025,Promise to Pay,10006.7
INT_00178,LN_436,AG_02,2/5/2025,Busy,0
INT_00179,LN_65,AG_07,2/5/2025,Busy,0
INT_00180,LN_419,AG_09,2/5/2025,Busy,0
INT_00181,LN_295,AG_10,2/6/2025,Promise to Pay,15473.02
INT_00182,LN_198,AG_02,2/6/2025,Answered,13279.98
INT_00183,LN_88,AG_05,2/7/2025,Switch Off,0
INT_00184,LN_283,AG_04,2/7/2025,Switch Off,0
INT_00185,LN_371,AG_03,2/7/2025,Busy,0
INT_00186,LN_163,AG_10,2/7/2025,Promise to Pay,0
INT_00187,LN_350,AG_08,2/7/2025,Busy,0
INT_00188,LN_216,AG_08,2/7/2025,Promise to Pay,11342.09
INT_00189,LN_163,AG_09,2/7/2025,Answered,11434.84
INT_00190,LN_246,AG_09,2/7/2025,Answered,0
INT_00191,LN_356,AG_01,2/7/2025,Answered,3513.37
INT_00192,LN_383,AG_01,2/8/2025,Busy,0
INT_00193,LN_403,AG_01,2/8/2025,Promise to Pay,0
INT_00194,LN_481,AG_09,2/8/2025,Answered,0
INT_00195,LN_421,AG_07,2/8/2025,Switch Off,0
INT_00196,LN_254,AG_10,2/8/2025,Answered,0
INT_00197,LN_321,AG_01,2/8/2025,Busy,0
INT_00198,LN_318,AG_08,2/8/2025,Promise to Pay,0
INT_00199,LN_200,AG_06,2/8/2025,Busy,0
INT_00200,LN_293,AG_01,2/9/2025,Answered,19393.7
INT_00201,LN_334,AG_02,2/9/2025,Busy,0
INT_00202,LN_279,AG_02,2/9/2025,Busy,0
INT_00203,LN_221,AG_04,2/9/2025,Switch Off,0
INT_00204,LN_85,AG_04,2/9/2025,Busy,0
INT_00205,LN_116,AG_06,2/10/2025,Switch Off,0
INT_00206,LN_479,AG_02,2/10/2025,Answered,0
INT_00207,LN_418,AG_06,2/10/2025,Switch Off,0
INT_00208,LN_295,AG_10,2/10/2025,Answered,0
INT_00209,LN_171,AG_09,2/10/2025,Promise to Pay,0
INT_00210,LN_89,AG_03,2/11/2025,Answered,0
INT_00211,LN_122,AG_08,2/11/2025,Switch Off,0
INT_00212,LN_316,AG_03,2/11/2025,Answered,0
INT_00213,LN_338,AG_04,2/11/2025,Answered,0
INT_00214,LN_251,AG_03,2/11/2025,Answered,0
INT_00215,LN_404,AG_09,2/11/2025,Answered,20333.48
INT_00216,LN_185,AG_04,2/11/2025,Answered,0
INT_00217,LN_411,AG_07,2/12/2025,Busy,0
INT_00218,LN_463,AG_09,2/12/2025,Promise to Pay,9164.98
INT_00219,LN_455,AG_02,2/12/2025,Answered,12428.32
INT_00220,LN_1,AG_02,2/12/2025,Switch Off,0
INT_00221,LN_445,AG_02,2/12/2025,Answered,21415.05
INT_00222,LN_152,AG_04,2/12/2025,Promise to Pay,0
INT_00223,LN_178,AG_04,2/12/2025,Switch Off,0
INT_00224,LN_310,AG_04,2/13/2025,Answered,0
INT_00225,LN_245,AG_08,2/13/2025,Busy,0
INT_00226,LN_468,AG_07,2/13/2025,Answered,0
INT_00227,LN_71,AG_09,2/13/2025,Answered,0
INT_00228,LN_339,AG_03,2/13/2025,Busy,0
INT_00229,LN_413,AG_01,2/14/2025,Answered,0
INT_00230,LN_239,AG_07,2/14/2025,Answered,0
INT_00231,LN_373,AG_05,2/14/2025,Promise to Pay,0
INT_00232,LN_108,AG_01,2/14/2025,Switch Off,0
INT_00233,LN_247,AG_01,2/14/2025,Switch Off,0
INT_00234,LN_142,AG_05,2/14/2025,Busy,0
INT_00235,LN_187,AG_08,2/14/2025,Promise to Pay,0
INT_00236,LN_388,AG_09,2/15/2025,Switch Off,0
INT_00237,LN_497,AG_02,2/15/2025,Answered,0
INT_00238,LN_417,AG_01,2/15/2025,Promise to Pay,0
INT_00239,LN_162,AG_08,2/15/2025,Promise to Pay,0
INT_00240,LN_95,AG_04,2/15/2025,Promise to Pay,0
INT_00241,LN_449,AG_08,2/15/2025,Answered,0
INT_00242,LN_485,AG_10,2/15/2025,Switch Off,0
INT_00243,LN_319,AG_10,2/16/2025,Answered,0
INT_00244,LN_67,AG_04,2/16/2025,Answered,0
INT_00245,LN_460,AG_01,2/16/2025,Promise to Pay,0
INT_00246,LN_438,AG_06,2/16/2025,Busy,0
INT_00247,LN_5,AG_04,2/16/2025,Promise to Pay,0
INT_00248,LN_194,AG_10,2/17/2025,Promise to Pay,3826.44
INT_00249,LN_143,AG_04,2/17/2025,Answered,0
INT_00250,LN_210,AG_01,2/17/2025,Answered,0
INT_00251,LN_404,AG_06,2/17/2025,Promise to Pay,1572.26
INT_00252,LN_374,AG_07,2/17/2025,Answered,0
INT_00253,LN_278,AG_03,2/17/2025,Busy,0
INT_00254,LN_379,AG_07,2/17/2025,Switch Off,0
INT_00255,LN_239,AG_02,2/17/2025,Answered,0
INT_00256,LN_311,AG_06,2/17/2025,Promise to Pay,0
INT_00257,LN_68,AG_09,2/18/2025,Answered,0
INT_00258,LN_387,AG_04,2/18/2025,Answered,10084.49
INT_00259,LN_168,AG_04,2/18/2025,Answered,13600.45
INT_00260,LN_165,AG_03,2/18/2025,Busy,0
INT_00261,LN_244,AG_01,2/18/2025,Promise to Pay,5736.77
INT_00262,LN_461,AG_09,2/19/2025,Answered,0
INT_00263,LN_408,AG_02,2/19/2025,Switch Off,0
INT_00264,LN_154,AG_01,2/19/2025,Busy,0
INT_00265,LN_338,AG_08,2/19/2025,Switch Off,0
INT_00266,LN_107,AG_02,2/20/2025,Promise to Pay,2511.92
INT_00267,LN_103,AG_01,2/20/2025,Promise to Pay,0
INT_00268,LN_353,AG_07,2/20/2025,Busy,0
INT_00269,LN_330,AG_06,2/20/2025,Answered,7412.59
INT_00270,LN_347,AG_10,2/20/2025,Answered,0
INT_00271,LN_41,AG_06,2/20/2025,Answered,0
INT_00272,LN_333,AG_07,2/21/2025,Answered,0
INT_00273,LN_372,AG_01,2/21/2025,Busy,0
INT_00274,LN_321,AG_09,2/21/2025,Busy,0
INT_00275,LN_128,AG_07,2/21/2025,Answered,0
INT_00276,LN_223,AG_10,2/21/2025,Answered,0
INT_00277,LN_307,AG_01,2/21/2025,Switch Off,0
INT_00278,LN_77,AG_09,2/21/2025,Answered,0
INT_00279,LN_445,AG_08,2/22/2025,Promise to Pay,0
INT_00280,LN_165,AG_07,2/22/2025,Answered,0
INT_00281,LN_7,AG_05,2/22/2025,Answered,0
INT_00282,LN_85,AG_05,2/22/2025,Promise to Pay,0
INT_00283,LN_414,AG_07,2/22/2025,Answered,0
INT_00284,LN_190,AG_09,2/22/2025,Busy,0
INT_00285,LN_83,AG_01,2/22/2025,Busy,0
INT_00286,LN_9,AG_06,2/22/2025,Switch Off,0
INT_00287,LN_62,AG_09,2/22/2025,Answered,3599.23
INT_00288,LN_405,AG_10,2/23/2025,Busy,0
INT_00289,LN_46,AG_07,2/23/2025,Answered,5166.03
INT_00290,LN_403,AG_10,2/23/2025,Answered,0
INT_00291,LN_439,AG_05,2/23/2025,Promise to Pay,0
INT_00292,LN_386,AG_04,2/23/2025,Answered,0
INT_00293,LN_77,AG_04,2/23/2025,Answered,2503.23
INT_00294,LN_217,AG_10,2/23/2025,Answered,5319.18
INT_00295,LN_432,AG_03,2/24/2025,Answered,24593
INT_00296,LN_319,AG_09,2/24/2025,Promise to Pay,0
INT_00297,LN_312,AG_08,2/24/2025,Answered,0
INT_00298,LN_364,AG_05,2/24/2025,Switch Off,0
INT_00299,LN_51,AG_02,2/24/2025,Answered,0
INT_00300,LN_297,AG_08,2/24/2025,Answered,10860.65
INT_00301,LN_399,AG_08,2/24/2025,Answered,9445.1
INT_00302,LN_227,AG_02,2/25/2025,Answered,0
INT_00303,LN_94,AG_08,2/25/2025,Answered,0
INT_00304,LN_19,AG_09,2/25/2025,Promise to Pay,0
INT_00305,LN_498,AG_02,2/25/2025,Switch Off,0
INT_00306,LN_259,AG_01,2/25/2025,Busy,0
INT_00307,LN_277,AG_10,2/25/2025,Promise to Pay,1788.12
INT_00308,LN_113,AG_03,2/25/2025,Answered,0
INT_00309,LN_474,AG_02,2/26/2025,Answered,0
INT_00310,LN_378,AG_03,2/26/2025,Switch Off,0
INT_00311,LN_63,AG_03,2/26/2025,Answered,12027.22
INT_00312,LN_349,AG_07,2/27/2025,Answered,0
INT_00313,LN_222,AG_06,2/27/2025,Promise to Pay,0
INT_00314,LN_493,AG_06,2/27/2025,Switch Off,0
INT_00315,LN_432,AG_10,2/27/2025,Answered,0
INT_00316,LN_142,AG_07,2/28/2025,Answered,0
INT_00317,LN_352,AG_02,2/28/2025,Answered,0
INT_00318,LN_164,AG_06,2/28/2025,Answered,0
INT_00319,LN_445,AG_07,2/28/2025,Answered,0
INT_00320,LN_276,AG_10,2/28/2025,Busy,0
INT_00321,LN_466,AG_06,2/28/2025,Answered,0
INT_00322,LN_267,AG_06,3/1/2025,Busy,0
INT_00323,LN_374,AG_08,3/1/2025,Promise to Pay,0
INT_00324,LN_308,AG_04,3/1/2025,Busy,0
INT_00325,LN_2,AG_07,3/1/2025,Promise to Pay,22332.61
INT_00326,LN_440,AG_03,3/2/2025,Busy,0
INT_00327,LN_74,AG_01,3/2/2025,Busy,0
INT_00328,LN_33,AG_09,3/2/2025,Answered,0
INT_00329,LN_193,AG_05,3/2/2025,Switch Off,0
INT_00330,LN_267,AG_10,3/3/2025,Answered,0
INT_00331,LN_325,AG_01,3/3/2025,Busy,0
INT_00332,LN_105,AG_09,3/3/2025,Answered,0
INT_00333,LN_396,AG_04,3/3/2025,Switch Off,0
INT_00334,LN_224,AG_02,3/4/2025,Busy,0
INT_00335,LN_184,AG_05,3/4/2025,Promise to Pay,0
INT_00336,LN_9,AG_08,3/4/2025,Switch Off,0
INT_00337,LN_316,AG_06,3/4/2025,Answered,0
INT_00338,LN_125,AG_07,3/4/2025,Busy,0
INT_00339,LN_456,AG_04,3/4/2025,Switch Off,0
INT_00340,LN_105,AG_09,3/5/2025,Answered,22626.95
INT_00341,LN_455,AG_09,3/5/2025,Switch Off,0
INT_00342,LN_225,AG_09,3/5/2025,Switch Off,0
INT_00343,LN_304,AG_10,3/5/2025,Answered,16096.7
INT_00344,LN_410,AG_04,3/6/2025,Answered,0
INT_00345,LN_64,AG_01,3/6/2025,Promise to Pay,19474.45
INT_00346,LN_281,AG_08,3/6/2025,Answered,0
INT_00347,LN_328,AG_04,3/6/2025,Promise to Pay,0
INT_00348,LN_46,AG_07,3/6/2025,Answered,4057.63
INT_00349,LN_281,AG_09,3/7/2025,Answered,0
INT_00350,LN_415,AG_02,3/7/2025,Answered,0
INT_00351,LN_189,AG_05,3/7/2025,Switch Off,0
INT_00352,LN_47,AG_07,3/7/2025,Answered,0
INT_00353,LN_181,AG_08,3/8/2025,Promise to Pay,0
INT_00354,LN_83,AG_07,3/8/2025,Promise to Pay,1009.95
INT_00355,LN_248,AG_07,3/8/2025,Answered,0
INT_00356,LN_328,AG_06,3/9/2025,Answered,0
INT_00357,LN_293,AG_10,3/9/2025,Answered,0
INT_00358,LN_304,AG_01,3/9/2025,Answered,21045.37
INT_00359,LN_180,AG_01,3/9/2025,Busy,0
INT_00360,LN_145,AG_04,3/9/2025,Answered,0
INT_00361,LN_139,AG_02,3/9/2025,Switch Off,0
INT_00362,LN_189,AG_10,3/10/2025,Promise to Pay,0
INT_00363,LN_295,AG_04,3/10/2025,Answered,0
INT_00364,LN_336,AG_10,3/10/2025,Busy,0
INT_00365,LN_438,AG_01,3/10/2025,Answered,0
INT_00366,LN_125,AG_05,3/10/2025,Answered,0
INT_00367,LN_496,AG_01,3/10/2025,Answered,0
INT_00368,LN_298,AG_02,3/11/2025,Answered,0
INT_00369,LN_357,AG_08,3/11/2025,Answered,23532.03
INT_00370,LN_239,AG_01,3/11/2025,Switch Off,0
INT_00371,LN_244,AG_10,3/11/2025,Switch Off,0
INT_00372,LN_244,AG_03,3/11/2025,Promise to Pay,0
INT_00373,LN_197,AG_08,3/11/2025,Switch Off,0
INT_00374,LN_136,AG_02,3/11/2025,Promise to Pay,0
INT_00375,LN_264,AG_09,3/12/2025,Answered,0
INT_00376,LN_323,AG_10,3/12/2025,Switch Off,0
INT_00377,LN_193,AG_05,3/12/2025,Answered,0
INT_00378,LN_93,AG_09,3/12/2025,Answered,18918.13
INT_00379,LN_220,AG_08,3/12/2025,Answered,0
INT_00380,LN_431,AG_06,3/12/2025,Promise to Pay,8203.69
INT_00381,LN_78,AG_05,3/12/2025,Switch Off,0
INT_00382,LN_396,AG_07,3/12/2025,Answered,0
INT_00383,LN_296,AG_06,3/14/2025,Switch Off,0
INT_00384,LN_17,AG_06,3/14/2025,Promise to Pay,0
INT_00385,LN_265,AG_01,3/14/2025,Busy,0
INT_00386,LN_17,AG_08,3/14/2025,Switch Off,0
INT_00387,LN_119,AG_01,3/14/2025,Promise to Pay,2034.31
INT_00388,LN_31,AG_04,3/14/2025,Busy,0
INT_00389,LN_438,AG_10,3/14/2025,Answered,0
INT_00390,LN_320,AG_10,3/15/2025,Answered,3565.84
INT_00391,LN_52,AG_10,3/15/2025,Promise to Pay,0
INT_00392,LN_216,AG_07,3/15/2025,Answered,0
INT_00393,LN_212,AG_10,3/15/2025,Answered,14299.64
INT_00394,LN_342,AG_03,3/15/2025,Promise to Pay,12368.05
INT_00395,LN_70,AG_06,3/15/2025,Answered,0
INT_00396,LN_73,AG_07,3/15/2025,Answered,0
INT_00397,LN_465,AG_06,3/16/2025,Answered,2554.61
INT_00398,LN_9,AG_03,3/16/2025,Busy,0
INT_00399,LN_197,AG_06,3/16/2025,Promise to Pay,0
INT_00400,LN_207,AG_03,3/16/2025,Switch Off,0
INT_00401,LN_220,AG_04,3/17/2025,Busy,0
INT_00402,LN_292,AG_09,3/17/2025,Answered,0
INT_00403,LN_284,AG_04,3/17/2025,Switch Off,0
INT_00404,LN_246,AG_01,3/17/2025,Answered,0
INT_00405,LN_412,AG_04,3/17/2025,Answered,11193.72
INT_00406,LN_401,AG_01,3/17/2025,Answered,0
INT_00407,LN_496,AG_03,3/17/2025,Promise to Pay,0
INT_00408,LN_189,AG_06,3/17/2025,Answered,23097.22
INT_00409,LN_411,AG_08,3/18/2025,Answered,0
INT_00410,LN_443,AG_06,3/18/2025,Promise to Pay,9249.54
INT_00411,LN_258,AG_02,3/18/2025,Answered,0
INT_00412,LN_70,AG_10,3/19/2025,Busy,0
INT_00413,LN_428,AG_07,3/19/2025,Busy,0
INT_00414,LN_260,AG_04,3/19/2025,Answered,0
INT_00415,LN_165,AG_07,3/19/2025,Answered,0
INT_00416,LN_276,AG_07,3/19/2025,Promise to Pay,0
INT_00417,LN_309,AG_09,3/19/2025,Answered,0
INT_00418,LN_262,AG_01,3/19/2025,Busy,0
INT_00419,LN_311,AG_01,3/19/2025,Answered,0
INT_00420,LN_136,AG_10,3/19/2025,Promise to Pay,0
INT_00421,LN_382,AG_06,3/20/2025,Promise to Pay,24946.5
INT_00422,LN_73,AG_09,3/20/2025,Answered,0
INT_00423,LN_230,AG_03,3/20/2025,Answered,21948.36
INT_00424,LN_337,AG_07,3/20/2025,Promise to Pay,0
INT_00425,LN_144,AG_09,3/20/2025,Answered,0
INT_00426,LN_256,AG_06,3/20/2025,Switch Off,0
INT_00427,LN_477,AG_07,3/21/2025,Promise to Pay,0
INT_00428,LN_342,AG_02,3/21/2025,Answered,0
INT_00429,LN_249,AG_07,3/21/2025,Busy,0
INT_00430,LN_454,AG_06,3/21/2025,Promise to Pay,0
INT_00431,LN_244,AG_03,3/22/2025,Answered,0
INT_00432,LN_177,AG_10,3/22/2025,Answered,0
INT_00433,LN_272,AG_05,3/22/2025,Promise to Pay,4686.41
INT_00434,LN_101,AG_08,3/22/2025,Switch Off,0
INT_00435,LN_309,AG_03,3/23/2025,Promise to Pay,0
INT_00436,LN_245,AG_07,3/23/2025,Switch Off,0
INT_00437,LN_388,AG_06,3/23/2025,Busy,0
INT_00438,LN_153,AG_05,3/23/2025,Answered,24327.2
INT_00439,LN_217,AG_04,3/23/2025,Busy,0
INT_00440,LN_246,AG_05,3/24/2025,Switch Off,0
INT_00441,LN_420,AG_01,3/24/2025,Answered,2573.44
INT_00442,LN_290,AG_06,3/24/2025,Busy,0
INT_00443,LN_147,AG_05,3/24/2025,Switch Off,0
INT_00444,LN_226,AG_06,3/24/2025,Answered,0
INT_00445,LN_147,AG_04,3/24/2025,Promise to Pay,0
INT_00446,LN_465,AG_10,3/24/2025,Busy,0
INT_00447,LN_480,AG_02,3/24/2025,Answered,0
INT_00448,LN_83,AG_08,3/24/2025,Answered,0
INT_00449,LN_31,AG_09,3/25/2025,Switch Off,0
INT_00450,LN_131,AG_01,3/25/2025,Busy,0
INT_00451,LN_242,AG_01,3/25/2025,Busy,0
INT_00452,LN_154,AG_07,3/25/2025,Promise to Pay,0
INT_00453,LN_145,AG_02,3/25/2025,Answered,19708.49
